sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NW_014040931.1,Curated Genomic,pseudogene,956,2640,957,2641,OLA1P1,246785,, 
NW_014040931.1,Curated Genomic,exon,956,2640,957,2641,OLA1P1,246785,, 
NW_014040931.1,BestRefSeq,gene,16780,18937,16781,18938,NDUFA6-DT,100132273,, 
NW_014040931.1,BestRefSeq,lnc_RNA,16780,18937,16781,18938,NDUFA6-DT,100132273,NR_034118.2, 
NW_014040931.1,BestRefSeq,exon,16780,16882,16781,16883,NDUFA6-DT,100132273,NR_034118.2, 
NW_014040931.1,BestRefSeq,exon,17636,18150,17637,18151,NDUFA6-DT,100132273,NR_034118.2, 
NW_014040931.1,BestRefSeq,exon,18463,18937,18464,18938,NDUFA6-DT,100132273,NR_034118.2, 
NW_014040931.1,BestRefSeq,gene,20087,24398,20088,24399,CYP2D6,1565,, 
NW_014040931.1,BestRefSeq,mRNA,20087,24398,20088,24399,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,24200,24398,24201,24399,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,23326,23497,23327,23498,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,22372,22532,22373,22533,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,21762,21938,21763,21939,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,21430,21571,21431,21572,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,21035,21222,21036,21223,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,20439,20580,20440,20581,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,exon,20087,20340,20088,20341,CYP2D6,1565,NM_001025161.3, 
NW_014040931.1,BestRefSeq,CDS,24200,24379,24201,24380,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,23326,23497,23327,23498,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,22372,22532,22373,22533,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,21762,21938,21763,21939,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,21430,21571,21431,21572,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,21035,21222,21036,21223,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,20439,20580,20440,20581,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,CDS,20162,20340,20163,20341,CYP2D6,1565,NP_001020332.2, 
NW_014040931.1,BestRefSeq,mRNA,20087,24398,20088,24399,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,24200,24398,24201,24399,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,23326,23497,23327,23498,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,22621,22773,22622,22774,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,22372,22532,22373,22533,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,21762,21938,21763,21939,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,21430,21571,21431,21572,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,21035,21222,21036,21223,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,20439,20580,20440,20581,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,exon,20087,20340,20088,20341,CYP2D6,1565,NM_000106.6, 
NW_014040931.1,BestRefSeq,CDS,24200,24379,24201,24380,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,23326,23497,23327,23498,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,22621,22773,22622,22774,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,22372,22532,22373,22533,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,21762,21938,21763,21939,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,21430,21571,21431,21572,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,21035,21222,21036,21223,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,20439,20580,20440,20581,CYP2D6,1565,NP_000097.3, 
NW_014040931.1,BestRefSeq,CDS,20162,20340,20163,20341,CYP2D6,1565,NP_000097.3, 
