sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NT_187673.1,BestRefSeq,gene,1850,18638,1851,18639,KIR3DL2,3812,, 
NT_187673.1,BestRefSeq,mRNA,1850,18638,1851,18639,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,18572,18638,18573,18639,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,17807,17842,17808,17843,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,16780,17064,16781,17065,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,15016,15315,15017,15316,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,13143,13436,13144,13437,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,3148,3252,3149,3253,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,2635,2687,2636,2688,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,exon,1850,2535,1851,2536,KIR3DL2,3812,NM_001242867.2, 
NT_187673.1,BestRefSeq,CDS,18572,18605,18573,18606,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,17807,17842,17808,17843,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,16780,17064,16781,17065,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,15016,15315,15017,15316,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,13143,13436,13144,13437,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,3148,3252,3149,3253,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,2635,2687,2636,2688,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,CDS,2326,2535,2327,2536,KIR3DL2,3812,NP_001229796.1, 
NT_187673.1,BestRefSeq,mRNA,1850,18638,1851,18639,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,18572,18638,18573,18639,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,17807,17842,17808,17843,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,16780,17064,16781,17065,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,15016,15315,15017,15316,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,13143,13436,13144,13437,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,9927,9977,9928,9978,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,3148,3252,3149,3253,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,2635,2687,2636,2688,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,exon,1850,2535,1851,2536,KIR3DL2,3812,NM_006737.4, 
NT_187673.1,BestRefSeq,CDS,18572,18605,18573,18606,KIR3DL2,3812,NP_006728.2, 
NT_187673.1,BestRefSeq,CDS,17807,17842,17808,17843,KIR3DL2,3812,NP_006728.2, 
