sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NW_015495298.1,RefSeq,sequence_feature,0,174474,1,174475,,,, 
NW_015495298.1,BestRefSeq,gene,663,1239,664,1240,PRAMEF22,653606,, 
NW_015495298.1,BestRefSeq,mRNA,663,1239,664,1240,PRAMEF22,653606,NM_001100631.2, 
NW_015495298.1,BestRefSeq,exon,663,1239,664,1240,PRAMEF22,653606,NM_001100631.2, 
NW_015495298.1,BestRefSeq,CDS,663,1239,664,1240,PRAMEF22,653606,NP_001094101.2, 
NW_015495298.1,Gnomon,pseudogene,24979,27745,24980,27746,LOC107987483,107987483,, 
NW_015495298.1,Gnomon,exon,24979,25265,24980,25266,LOC107987483,107987483,, 
NW_015495298.1,Gnomon,exon,25662,26240,25663,26241,LOC107987483,107987483,, 
NW_015495298.1,Gnomon,exon,27187,27745,27188,27746,LOC107987483,107987483,, 
NW_015495298.1,BestRefSeq,gene,45091,52190,45092,52191,PRAMEF27,101929983,, 
NW_015495298.1,BestRefSeq,mRNA,45091,52190,45092,52191,PRAMEF27,101929983,NM_001300891.2, 
NW_015495298.1,BestRefSeq,exon,52029,52190,52030,52191,PRAMEF27,101929983,NM_001300891.2, 
NW_015495298.1,BestRefSeq,exon,48982,49290,48983,49291,PRAMEF27,101929983,NM_001300891.2, 
NW_015495298.1,BestRefSeq,exon,47733,48314,47734,48315,PRAMEF27,101929983,NM_001300891.2, 
NW_015495298.1,BestRefSeq,exon,45091,45984,45092,45985,PRAMEF27,101929983,NM_001300891.2, 
NW_015495298.1,BestRefSeq,CDS,48982,49274,48983,49275,PRAMEF27,101929983,NP_001287820.1, 
NW_015495298.1,BestRefSeq,CDS,47733,48314,47734,48315,PRAMEF27,101929983,NP_001287820.1, 
NW_015495298.1,BestRefSeq,CDS,45423,45984,45424,45985,PRAMEF27,101929983,NP_001287820.1, 
NW_015495298.1,BestRefSeq,gene,56384,58493,56385,58494,HNRNPCL3,649330,, 
NW_015495298.1,BestRefSeq,mRNA,56384,58493,56385,58494,HNRNPCL3,649330,NM_001382358.1, 
NW_015495298.1,BestRefSeq,exon,56384,56545,56385,56546,HNRNPCL3,649330,NM_001382358.1, 
NW_015495298.1,BestRefSeq,exon,56759,58493,56760,58494,HNRNPCL3,649330,NM_001382358.1, 
NW_015495298.1,BestRefSeq,CDS,56940,57821,56941,57822,HNRNPCL3,649330,NP_001369287.1, 
NW_015495298.1,BestRefSeq,gene,66389,73499,66390,73500,PRAMEF25,441873,, 
NW_015495298.1,BestRefSeq,mRNA,66389,73499,66390,73500,PRAMEF25,441873,NM_001310134.3, 
NW_015495298.1,BestRefSeq,exon,66389,66522,66390,66523,PRAMEF25,441873,NM_001310134.3, 
NW_015495298.1,BestRefSeq,exon,69293,69601,69294,69602,PRAMEF25,441873,NM_001310134.3, 
NW_015495298.1,BestRefSeq,exon,70274,70855,70275,70856,PRAMEF25,441873,NM_001310134.3, 
NW_015495298.1,BestRefSeq,exon,72606,73499,72607,73500,PRAMEF25,441873,NM_001310134.3, 
NW_015495298.1,BestRefSeq,CDS,69309,69601,69310,69602,PRAMEF25,441873,NP_001297063.1, 
NW_015495298.1,BestRefSeq,CDS,70274,70855,70275,70856,PRAMEF25,441873,NP_001297063.1, 
NW_015495298.1,BestRefSeq,CDS,72606,73167,72607,73168,PRAMEF25,441873,NP_001297063.1, 
NW_015495298.1,BestRefSeq,pseudogene,90130,95332,90131,95333,PRAMEF34P,649324,, 
NW_015495298.1,BestRefSeq,transcript,90130,95332,90131,95333,PRAMEF34P,649324,NR_111947.1, 
NW_015495298.1,BestRefSeq,exon,95255,95332,95256,95333,PRAMEF34P,649324,NR_111947.1, 
NW_015495298.1,BestRefSeq,exon,93300,93611,93301,93612,PRAMEF34P,649324,NR_111947.1, 
NW_015495298.1,BestRefSeq,exon,92328,92903,92329,92904,PRAMEF34P,649324,NR_111947.1, 
NW_015495298.1,BestRefSeq,exon,90130,91377,90131,91378,PRAMEF34P,649324,NR_111947.1, 
NW_015495298.1,Curated Genomic,pseudogene,99990,101304,99991,101305,PRAMEF35P,100419649,, 
NW_015495298.1,Curated Genomic,exon,99990,100596,99991,100597,PRAMEF35P,100419649,, 
NW_015495298.1,Curated Genomic,exon,100992,101304,100993,101305,PRAMEF35P,100419649,, 
NW_015495298.1,BestRefSeq,gene,111103,112469,111104,112470,HNRNPCL2,440563,, 
NW_015495298.1,BestRefSeq,mRNA,111103,112469,111104,112470,HNRNPCL2,440563,NM_001136561.3, 
NW_015495298.1,BestRefSeq,exon,112408,112469,112409,112470,HNRNPCL2,440563,NM_001136561.3, 
NW_015495298.1,BestRefSeq,exon,111103,112196,111104,112197,HNRNPCL2,440563,NM_001136561.3, 
NW_015495298.1,BestRefSeq,CDS,111134,112015,111135,112016,HNRNPCL2,440563,NP_001130033.3, 
NW_015495298.1,BestRefSeq,pseudogene,122684,127889,122685,127890,PRAMEF36P,645354,, 
NW_015495298.1,BestRefSeq,transcript,122684,127889,122685,127890,PRAMEF36P,645354,NR_111945.1, 
