sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NT_187565.1,RefSeq,sequence_feature,0,30934,1,30935,,,, 
NT_187565.1,BestRefSeq,gene,15249,21822,15250,21823,LOC286083,286083,, 
NT_187565.1,BestRefSeq,lnc_RNA,15249,21822,15250,21823,LOC286083,286083,NR_111948.1, 
NT_187565.1,BestRefSeq,exon,19140,21822,19141,21823,LOC286083,286083,NR_111948.1, 
NT_187565.1,BestRefSeq,exon,16248,16443,16249,16444,LOC286083,286083,NR_111948.1, 
NT_187565.1,BestRefSeq,exon,15249,15418,15250,15419,LOC286083,286083,NR_111948.1, 
NT_187565.1,RefSeq,sequence_feature,30935,31421,30936,31422,,,, 
NT_187565.1,RefSeq,sequence_feature,31422,88731,31423,88732,,,, 
NT_187565.1,Gnomon,gene,90837,92436,90838,92437,LOC105377776,105377776,, 
NT_187565.1,Gnomon,lnc_RNA,90837,92436,90838,92437,LOC105377776,105377776,XR_951726.2, 
NT_187565.1,Gnomon,exon,91579,92436,91580,92437,LOC105377776,105377776,XR_951726.2, 
NT_187565.1,Gnomon,exon,90837,91149,90838,91150,LOC105377776,105377776,XR_951726.2, 
NT_187565.1,Gnomon,gene,92503,93164,92504,93165,LOC105379585,105379585,, 
NT_187565.1,Gnomon,lnc_RNA,92503,93164,92504,93165,LOC105379585,105379585,XR_951727.1, 
NT_187565.1,Gnomon,exon,92503,92578,92504,92579,LOC105379585,105379585,XR_951727.1, 
NT_187565.1,Gnomon,exon,92855,93164,92856,93165,LOC105379585,105379585,XR_951727.1, 
NT_187565.1,RefSeq,sequence_feature,122644,292435,122645,292436,,,, 
NT_187565.1,Gnomon,gene,133801,142649,133802,142650,LOC105377775,105377775,, 
NT_187565.1,Gnomon,lnc_RNA,133801,142649,133802,142650,LOC105377775,105377775,XR_951729.3, 
NT_187565.1,Gnomon,exon,142439,142649,142440,142650,LOC105377775,105377775,XR_951729.3, 
NT_187565.1,Gnomon,exon,134846,134985,134847,134986,LOC105377775,105377775,XR_951729.3, 
NT_187565.1,Gnomon,exon,133801,134638,133802,134639,LOC105377775,105377775,XR_951729.3, 
NT_187565.1,Gnomon,lnc_RNA,133801,135510,133802,135511,LOC105377775,105377775,XR_951730.2, 
NT_187565.1,Gnomon,exon,135116,135510,135117,135511,LOC105377775,105377775,XR_951730.2, 
NT_187565.1,Gnomon,exon,134846,134985,134847,134986,LOC105377775,105377775,XR_951730.2, 
NT_187565.1,Gnomon,exon,133801,134638,133802,134639,LOC105377775,105377775,XR_951730.2, 
NT_187565.1,Gnomon,gene,142745,146874,142746,146875,LOC105379586,105379586,, 
NT_187565.1,Gnomon,lnc_RNA,142745,146874,142746,146875,LOC105379586,105379586,XR_951728.1, 
NT_187565.1,Gnomon,exon,142745,142839,142746,142840,LOC105379586,105379586,XR_951728.1, 
NT_187565.1,Gnomon,exon,145139,146874,145140,146875,LOC105379586,105379586,XR_951728.1, 
NT_187565.1,BestRefSeq,gene,206893,291611,206894,291612,DLGAP2,9228,, 
NT_187565.1,BestRefSeq,mRNA,206893,291611,206894,291612,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,exon,206893,206962,206894,206963,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,exon,254157,255214,254158,255215,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,exon,271214,271423,271215,271424,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,exon,283806,283818,283807,283819,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,exon,286152,286179,286153,286180,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,exon,291583,291611,291584,291612,DLGAP2,9228,NM_001346810.2, 
NT_187565.1,BestRefSeq,CDS,206893,206962,206894,206963,DLGAP2,9228,NP_001333739.1, 
NT_187565.1,BestRefSeq,CDS,254157,255214,254158,255215,DLGAP2,9228,NP_001333739.1, 
NT_187565.1,BestRefSeq,CDS,271214,271423,271215,271424,DLGAP2,9228,NP_001333739.1, 
NT_187565.1,BestRefSeq,gene,271040,291928,271041,291929,DLGAP2-AS1,100507435,, 
NT_187565.1,BestRefSeq,lnc_RNA,271040,291928,271041,291929,DLGAP2-AS1,100507435,NR_103863.1, 
NT_187565.1,BestRefSeq,exon,291914,291928,291915,291929,DLGAP2-AS1,100507435,NR_103863.1, 
NT_187565.1,BestRefSeq,exon,285514,285524,285515,285525,DLGAP2-AS1,100507435,NR_103863.1, 
NT_187565.1,BestRefSeq,exon,282991,283008,282992,283009,DLGAP2-AS1,100507435,NR_103863.1, 
NT_187565.1,BestRefSeq,exon,271040,271269,271041,271270,DLGAP2-AS1,100507435,NR_103863.1, 
NT_187565.1,RefSeq,cDNA_match,206893,206962,206894,206963,,,, 
NT_187565.1,RefSeq,cDNA_match,254157,255214,254158,255215,,,, 
NT_187565.1,RefSeq,cDNA_match,271214,271423,271215,271424,,,, 
NT_187565.1,RefSeq,cDNA_match,283806,283818,283807,283819,,,, 
NT_187565.1,RefSeq,cDNA_match,286152,286179,286153,286180,,,, 
NT_187565.1,RefSeq,cDNA_match,291583,291611,291584,291612,,,, 
NT_187565.1,RefSeq,cDNA_match,291914,291928,291915,291929,,,, 
NT_187565.1,RefSeq,cDNA_match,285514,285524,285515,285525,,,, 
NT_187565.1,RefSeq,cDNA_match,282991,283008,282992,283009,,,, 
NT_187565.1,RefSeq,cDNA_match,271040,271269,271041,271270,,,, 
