sequence_id,refseq,region,start_index,end_index,start,end,gene,gene_id,genbank,ensembl
NT_113888.1,Gnomon,pseudogene,10560,14009,10561,14010,LOC100996703,100996703,, 
NT_113888.1,Gnomon,exon,10560,11412,10561,11413,LOC100996703,100996703,, 
NT_113888.1,Gnomon,exon,13865,14009,13866,14010,LOC100996703,100996703,, 
NT_113888.1,Gnomon,gene,30788,56966,30789,56967,LOC105379274,105379274,, 
NT_113888.1,Gnomon,lnc_RNA,30788,56966,30789,56967,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,30788,30829,30789,30830,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,34440,34692,34441,34693,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,38417,38614,38418,38615,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,41934,42024,41935,42025,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,44044,44281,44045,44282,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,49027,49193,49028,49194,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,Gnomon,exon,56881,56966,56882,56967,LOC105379274,105379274,XR_001756097.2, 
NT_113888.1,BestRefSeq,pseudogene,53588,115072,53589,115073,MAFIP,727764,, 
NT_113888.1,BestRefSeq,transcript,53588,115072,53589,115073,MAFIP,727764,NR_046440.2, 
NT_113888.1,BestRefSeq,exon,114985,115072,114986,115073,MAFIP,727764,NR_046440.2, 
NT_113888.1,BestRefSeq,exon,112791,112849,112792,112850,MAFIP,727764,NR_046440.2, 
NT_113888.1,BestRefSeq,exon,55445,55675,55446,55676,MAFIP,727764,NR_046440.2, 
NT_113888.1,BestRefSeq,exon,54677,54831,54678,54832,MAFIP,727764,NR_046440.2, 
NT_113888.1,BestRefSeq,exon,53588,53891,53589,53892,MAFIP,727764,NR_046440.2, 
NT_113888.1,BestRefSeq,transcript,53588,115072,53589,115073,MAFIP,727764,NR_046441.2, 
NT_113888.1,BestRefSeq,exon,114985,115072,114986,115073,MAFIP,727764,NR_046441.2, 
NT_113888.1,BestRefSeq,exon,112791,112849,112792,112850,MAFIP,727764,NR_046441.2, 
NT_113888.1,BestRefSeq,exon,53588,55675,53589,55676,MAFIP,727764,NR_046441.2, 
NT_113888.1,BestRefSeq,transcript,53588,115072,53589,115073,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,114985,115072,114986,115073,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,112791,112849,112792,112850,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,58327,58997,58328,58998,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,57454,57618,57455,57619,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,56021,56998,56022,56999,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,55445,55675,55446,55676,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,54677,54831,54678,54832,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,exon,53588,53891,53589,53892,MAFIP,727764,NR_046439.2, 
NT_113888.1,BestRefSeq,transcript,61656,115072,61657,115073,MAFIP,727764,NR_046442.2, 
NT_113888.1,BestRefSeq,exon,114985,115072,114986,115073,MAFIP,727764,NR_046442.2, 
NT_113888.1,BestRefSeq,exon,112791,112849,112792,112850,MAFIP,727764,NR_046442.2, 
NT_113888.1,BestRefSeq,exon,61656,62948,61657,62949,MAFIP,727764,NR_046442.2, 
NT_113888.1,Curated Genomic,pseudogene,65246,68988,65247,68989,LOC653071,653071,, 
NT_113888.1,Curated Genomic,pseudogene,73074,73632,73075,73633,LOC642204,642204,, 
NT_113888.1,RefSeq,match,65146,69088,65147,69089,,,, 
NT_113888.1,RefSeq,match,73074,73732,73075,73733,,,, 
