sequence_id,refseq,region,start_index,end_index,start,end
NT_113923.1,Curated Genomic,pseudogene,9141,9374,9142,9375 
NT_113923.1,BestRefSeq,gene,24048,60767,24049,60768 
NT_113923.1,BestRefSeq,lnc_RNA,24048,60767,24049,60768 
NT_113923.1,BestRefSeq,exon,24048,24162,24049,24163 
NT_113923.1,BestRefSeq,exon,47750,47808,47751,47809 
NT_113923.1,BestRefSeq,exon,48277,48301,48278,48302 
NT_113923.1,BestRefSeq,exon,51246,51332,51247,51333 
NT_113923.1,BestRefSeq,exon,56230,56295,56231,56296 
NT_113923.1,BestRefSeq,exon,58298,58359,58299,58360 
NT_113923.1,BestRefSeq,exon,58825,58858,58826,58859 
NT_113923.1,BestRefSeq,exon,59254,60767,59255,60768 
NT_113923.1,Curated Genomic,pseudogene,35172,36219,35173,36220 
NT_113923.1,Curated Genomic,exon,35172,36219,35173,36220 
NT_113923.1,Curated Genomic,pseudogene,90051,100375,90052,100376 
NT_113923.1,Curated Genomic,pseudogene,126436,129131,126437,129132 
NT_113923.1,RefSeq,match,9041,9474,9042,9475 
NT_113923.1,RefSeq,match,35072,36319,35073,36320 
NT_113923.1,RefSeq,match,89951,100375,89952,100376 
NT_113923.1,RefSeq,match,126336,129231,126337,129232 
