sequence_id,refseq,region,start_index,end_index,start,end
NW_003315903.1,Curated Genomic,pseudogene,19331,19723,19332,19724 
NW_003315903.1,BestRefSeq,gene,36937,48671,36938,48672 
NW_003315903.1,BestRefSeq,mRNA,36937,48671,36938,48672 
NW_003315903.1,BestRefSeq,exon,48552,48671,48553,48672 
NW_003315903.1,BestRefSeq,exon,48046,48165,48047,48166 
NW_003315903.1,BestRefSeq,exon,45811,45975,45812,45976 
NW_003315903.1,BestRefSeq,exon,42664,42801,42665,42802 
NW_003315903.1,BestRefSeq,exon,36937,37371,36938,37372 
NW_003315903.1,BestRefSeq,CDS,48552,48603,48553,48604 
NW_003315903.1,BestRefSeq,CDS,48046,48165,48047,48166 
NW_003315903.1,BestRefSeq,CDS,45811,45975,45812,45976 
NW_003315903.1,BestRefSeq,CDS,42664,42801,42665,42802 
NW_003315903.1,BestRefSeq,CDS,37133,37371,37134,37372 
NW_003315903.1,BestRefSeq,mRNA,36937,48655,36938,48656 
NW_003315903.1,BestRefSeq,exon,48552,48655,48553,48656 
NW_003315903.1,BestRefSeq,exon,48046,48165,48047,48166 
NW_003315903.1,BestRefSeq,exon,45811,45975,45812,45976 
NW_003315903.1,BestRefSeq,exon,42664,42801,42665,42802 
NW_003315903.1,BestRefSeq,exon,36937,37371,36938,37372 
NW_003315903.1,BestRefSeq,CDS,48552,48603,48553,48604 
NW_003315903.1,BestRefSeq,CDS,48046,48165,48047,48166 
NW_003315903.1,BestRefSeq,CDS,45811,45975,45812,45976 
NW_003315903.1,BestRefSeq,CDS,42664,42801,42665,42802 
NW_003315903.1,BestRefSeq,CDS,37133,37371,37134,37372 
NW_003315903.1,RefSeq,match,19315,19823,19316,19824 
NW_003315903.1,RefSeq,cDNA_match,48552,48671,48553,48672 
NW_003315903.1,RefSeq,cDNA_match,48046,48165,48047,48166 
NW_003315903.1,RefSeq,cDNA_match,45811,45975,45812,45976 
NW_003315903.1,RefSeq,cDNA_match,42664,42801,42665,42802 
NW_003315903.1,RefSeq,cDNA_match,36937,37371,36938,37372 
NW_003315903.1,RefSeq,cDNA_match,48552,48655,48553,48656 
NW_003315903.1,RefSeq,cDNA_match,48046,48165,48047,48166 
NW_003315903.1,RefSeq,cDNA_match,45811,45975,45812,45976 
NW_003315903.1,RefSeq,cDNA_match,42664,42801,42665,42802 
NW_003315903.1,RefSeq,cDNA_match,36937,37371,36938,37372 
