sequence_id,refseq,region,start_index,end_index,start,end
NW_003315965.1,Curated Genomic,pseudogene,798,1689,799,1690 
NW_003315965.1,Curated Genomic,pseudogene,104878,105753,104879,105754 
NW_003315965.1,BestRefSeq,gene,111922,129784,111923,129785 
NW_003315965.1,BestRefSeq,mRNA,111922,129784,111923,129785 
NW_003315965.1,BestRefSeq,exon,111922,112273,111923,112274 
NW_003315965.1,BestRefSeq,exon,115762,115857,115763,115858 
NW_003315965.1,BestRefSeq,exon,127287,129784,127288,129785 
NW_003315965.1,BestRefSeq,CDS,112240,112273,112241,112274 
NW_003315965.1,BestRefSeq,CDS,115762,115857,115763,115858 
NW_003315965.1,BestRefSeq,CDS,127287,128923,127288,128924 
NW_003315965.1,Curated Genomic,pseudogene,133682,134107,133683,134108 
NW_003315965.1,Curated Genomic,pseudogene,167756,168477,167757,168478 
NW_003315965.1,Curated Genomic,pseudogene,168781,170949,168782,170950 
NW_003315965.1,Curated Genomic,exon,168781,170949,168782,170950 
NW_003315965.1,Curated Genomic,pseudogene,178551,179108,178552,179109 
NW_003315965.1,RefSeq,match,698,1789,699,1790 
NW_003315965.1,RefSeq,match,104778,105853,104779,105854 
NW_003315965.1,RefSeq,match,133582,134207,133583,134208 
NW_003315965.1,RefSeq,match,167656,168577,167657,168578 
NW_003315965.1,RefSeq,match,168681,171049,168682,171050 
NW_003315965.1,RefSeq,match,178451,179208,178452,179209 
