sequence_id,refseq,region,start_index,end_index,start,end
NT_187574.1,RefSeq,sequence_feature,0,18079,1,18080 
NT_187574.1,BestRefSeq,gene,7102,11174,7103,11175 
NT_187574.1,BestRefSeq,lnc_RNA,7102,11174,7103,11175 
NT_187574.1,BestRefSeq,exon,7102,7225,7103,7226 
NT_187574.1,BestRefSeq,exon,8894,9029,8895,9030 
NT_187574.1,BestRefSeq,exon,9511,9768,9512,9769 
NT_187574.1,BestRefSeq,exon,10897,11174,10898,11175 
NT_187574.1,RefSeq,sequence_feature,18080,18293,18081,18294 
NT_187574.1,RefSeq,sequence_feature,18294,54294,18295,54295 
NT_187574.1,BestRefSeq,gene,23023,33839,23024,33840 
NT_187574.1,BestRefSeq,mRNA,23023,33839,23024,33840 
NT_187574.1,BestRefSeq,exon,33754,33839,33755,33840 
NT_187574.1,BestRefSeq,exon,23023,24500,23024,24501 
NT_187574.1,BestRefSeq,CDS,23400,24476,23401,24477 
NT_187574.1,Gnomon,gene,40736,48890,40737,48891 
NT_187574.1,Gnomon,lnc_RNA,40736,48890,40737,48891 
NT_187574.1,Gnomon,exon,40736,40988,40737,40989 
NT_187574.1,Gnomon,exon,44475,44599,44476,44600 
NT_187574.1,Gnomon,exon,48633,48890,48634,48891 
NT_187574.1,Gnomon,gene,54663,58403,54664,58404 
NT_187574.1,Gnomon,lnc_RNA,54663,58004,54664,58005 
NT_187574.1,Gnomon,exon,57250,58004,57251,58005 
NT_187574.1,Gnomon,exon,55756,56117,55757,56118 
NT_187574.1,Gnomon,exon,54663,55165,54664,55166 
NT_187574.1,Gnomon,lnc_RNA,54671,58403,54672,58404 
NT_187574.1,Gnomon,exon,58101,58403,58102,58404 
NT_187574.1,Gnomon,exon,57250,57702,57251,57703 
NT_187574.1,Gnomon,exon,54671,56117,54672,56118 
NT_187574.1,Gnomon,lnc_RNA,54671,58004,54672,58005 
NT_187574.1,Gnomon,exon,57250,58004,57251,58005 
NT_187574.1,Gnomon,exon,56045,56117,56046,56118 
NT_187574.1,Gnomon,exon,54671,55954,54672,55955 
NT_187574.1,Gnomon,lnc_RNA,54671,58004,54672,58005 
NT_187574.1,Gnomon,exon,57250,58004,57251,58005 
NT_187574.1,Gnomon,exon,54671,56117,54672,56118 
NT_187574.1,BestRefSeq,gene,58572,104909,58573,104910 
NT_187574.1,BestRefSeq,mRNA,58572,104909,58573,104910 
NT_187574.1,BestRefSeq,exon,58572,58635,58573,58636 
NT_187574.1,BestRefSeq,exon,93843,94800,93844,94801 
NT_187574.1,BestRefSeq,exon,97503,97595,97504,97596 
NT_187574.1,BestRefSeq,exon,99394,99524,99395,99525 
