sequence_id,refseq,region,start_index,end_index,start,end
NT_187366.1,BestRefSeq,gene,4610,32449,4611,32450 
NT_187366.1,BestRefSeq,mRNA,4610,32449,4611,32450 
NT_187366.1,BestRefSeq,exon,32363,32449,32364,32450 
NT_187366.1,BestRefSeq,exon,32024,32093,32025,32094 
NT_187366.1,BestRefSeq,exon,30872,31184,30873,31185 
NT_187366.1,BestRefSeq,exon,29590,29744,29591,29745 
NT_187366.1,BestRefSeq,exon,29278,29487,29279,29488 
NT_187366.1,BestRefSeq,exon,27336,27438,27337,27439 
NT_187366.1,BestRefSeq,exon,26290,26504,26291,26505 
NT_187366.1,BestRefSeq,exon,25166,25238,25167,25239 
NT_187366.1,BestRefSeq,exon,24491,24702,24492,24703 
NT_187366.1,BestRefSeq,exon,22932,23141,22933,23142 
NT_187366.1,BestRefSeq,exon,21056,21158,21057,21159 
NT_187366.1,BestRefSeq,exon,20006,20220,20007,20221 
NT_187366.1,BestRefSeq,exon,18896,18968,18897,18969 
NT_187366.1,BestRefSeq,exon,18226,18431,18227,18432 
NT_187366.1,BestRefSeq,exon,16870,16921,16871,16922 
NT_187366.1,BestRefSeq,exon,12800,12963,12801,12964 
NT_187366.1,BestRefSeq,exon,11706,11757,11707,11758 
NT_187366.1,BestRefSeq,exon,10910,11082,10911,11083 
NT_187366.1,BestRefSeq,exon,10139,10190,10140,10191 
NT_187366.1,BestRefSeq,exon,9364,9536,9365,9537 
NT_187366.1,BestRefSeq,exon,8603,8654,8604,8655 
NT_187366.1,BestRefSeq,exon,7816,7988,7817,7989 
NT_187366.1,BestRefSeq,exon,6990,7101,6991,7102 
NT_187366.1,BestRefSeq,exon,4610,6369,4611,6370 
NT_187366.1,BestRefSeq,CDS,29278,29452,29279,29453 
NT_187366.1,BestRefSeq,CDS,27336,27438,27337,27439 
NT_187366.1,BestRefSeq,CDS,26290,26504,26291,26505 
NT_187366.1,BestRefSeq,CDS,25166,25238,25167,25239 
NT_187366.1,BestRefSeq,CDS,24491,24702,24492,24703 
NT_187366.1,BestRefSeq,CDS,22932,23141,22933,23142 
NT_187366.1,BestRefSeq,CDS,21056,21158,21057,21159 
NT_187366.1,BestRefSeq,CDS,20006,20220,20007,20221 
NT_187366.1,BestRefSeq,CDS,18896,18968,18897,18969 
NT_187366.1,BestRefSeq,CDS,18226,18431,18227,18432 
NT_187366.1,BestRefSeq,CDS,16870,16921,16871,16922 
NT_187366.1,BestRefSeq,CDS,12800,12963,12801,12964 
NT_187366.1,BestRefSeq,CDS,11706,11757,11707,11758 
NT_187366.1,BestRefSeq,CDS,10910,11082,10911,11083 
NT_187366.1,BestRefSeq,CDS,10139,10190,10140,10191 
NT_187366.1,BestRefSeq,CDS,9364,9536,9365,9537 
NT_187366.1,BestRefSeq,CDS,8603,8654,8604,8655 
NT_187366.1,BestRefSeq,CDS,7816,7988,7817,7989 
NT_187366.1,BestRefSeq,CDS,6990,7101,6991,7102 
NT_187366.1,BestRefSeq,CDS,6126,6369,6127,6370 
NT_187366.1,RefSeq,cDNA_match,32363,32449,32364,32450 
NT_187366.1,RefSeq,cDNA_match,32024,32093,32025,32094 
NT_187366.1,RefSeq,cDNA_match,30872,31184,30873,31185 
NT_187366.1,RefSeq,cDNA_match,29590,29744,29591,29745 
NT_187366.1,RefSeq,cDNA_match,29278,29487,29279,29488 
NT_187366.1,RefSeq,cDNA_match,27336,27438,27337,27439 
NT_187366.1,RefSeq,cDNA_match,26290,26504,26291,26505 
NT_187366.1,RefSeq,cDNA_match,25166,25238,25167,25239 
NT_187366.1,RefSeq,cDNA_match,24491,24702,24492,24703 
NT_187366.1,RefSeq,cDNA_match,22932,23141,22933,23142 
NT_187366.1,RefSeq,cDNA_match,21056,21158,21057,21159 
NT_187366.1,RefSeq,cDNA_match,20006,20220,20007,20221 
NT_187366.1,RefSeq,cDNA_match,18896,18968,18897,18969 
NT_187366.1,RefSeq,cDNA_match,18226,18431,18227,18432 
NT_187366.1,RefSeq,cDNA_match,16870,16921,16871,16922 
NT_187366.1,RefSeq,cDNA_match,12800,12963,12801,12964 
NT_187366.1,RefSeq,cDNA_match,11706,11757,11707,11758 
NT_187366.1,RefSeq,cDNA_match,10910,11082,10911,11083 
NT_187366.1,RefSeq,cDNA_match,10139,10190,10140,10191 
NT_187366.1,RefSeq,cDNA_match,9364,9536,9365,9537 
NT_187366.1,RefSeq,cDNA_match,8603,8654,8604,8655 
NT_187366.1,RefSeq,cDNA_match,7816,7988,7817,7989 
NT_187366.1,RefSeq,cDNA_match,6990,7101,6991,7102 
NT_187366.1,RefSeq,cDNA_match,4610,6369,4611,6370 
