sequence_id,refseq,region,start_index,end_index,start,end
NW_003315915.1,RefSeq,sequence_feature,0,153964,1,153965 
NW_003315915.1,Gnomon,gene,139089,140729,139090,140730 
NW_003315915.1,Gnomon,lnc_RNA,139089,140729,139090,140730 
NW_003315915.1,Gnomon,exon,139089,139128,139090,139129 
NW_003315915.1,Gnomon,exon,139651,139730,139652,139731 
NW_003315915.1,Gnomon,exon,140459,140729,140460,140730 
NW_003315915.1,Gnomon,gene,148592,161540,148593,161541 
NW_003315915.1,Gnomon,lnc_RNA,148592,161540,148593,161541 
NW_003315915.1,Gnomon,exon,148592,148655,148593,148656 
NW_003315915.1,Gnomon,exon,150726,150874,150727,150875 
NW_003315915.1,Gnomon,exon,161268,161540,161269,161541 
NW_003315915.1,RefSeq,sequence_feature,193822,376186,193823,376187 
NW_003315915.1,Gnomon,gene,247153,352883,247154,352884 
NW_003315915.1,Gnomon,lnc_RNA,247153,352883,247154,352884 
NW_003315915.1,Gnomon,exon,247153,247215,247154,247216 
NW_003315915.1,Gnomon,exon,350618,350808,350619,350809 
NW_003315915.1,Gnomon,exon,352754,352883,352755,352884 
